,school_name,city,state,website,directory
0,west vigo high school,west terre haute,indiana,https://web.vigoschools.org/wvhs/,https://web.vigoschools.org/wvhs/staff/
1,daniel webster high school,tulsa,oklahoma,https://webster.tulsaschools.org/,https://webster.tulsaschools.org/connect-with-us/directory
2,wilmington early college high school,castle hayne,north carolina,https://wechs.nhcs.net/,https://wechs.nhcs.net/faculty-staff
3,wilkes early college high school,wilkesboro,north carolina,https://wechs.wilkescountyschools.org/,https://wechs.wilkescountyschools.org/apps/pages/index.jsp?uREC_ID=429794&type=d&pREC_ID=971955
4,williston elko high school,williston,south carolina,https://wehs.bccsd.net/,https://wehs.bccsd.net/apps/staff/
5,wyoming county east high school,new richmond,west virginia,https://wehs.wyom.k12.wv.us/,https://wvde.state.wv.us/ed_directory/index.html?county_id=98&school_id=507
6,weirton madonna high school,weirton,west virginia,https://weirtonmadonna.org/,https://weirtonmadonna.org/staff-and-faculty/
7,wellman union school,wellman,texas,https://wellman.esc17.net,https://wellman.esc17.net/page/dis.staff_directory
8,wells community academy high school,chicago,illinois,https://wellshs.cps.edu/,https://www.chicagojrotc.com/school_info/Wellshs.jsp
9,wellsprings friends school,eugene,oregon,https://wellspringsfriends.org/about/our-mission/,https://www.wellspringsfriends.org/about
10,wesleyan christian school,bartlesville,oklahoma,https://wesleyanchristianschool.com/,https://wesleyanchristianschool.com/faculty.html
11,west high school,sioux city,iowa,https://west-high.siouxcityschools.org/,https://west-high.siouxcityschools.org/o/west-high/staff
12,west high school,appleton,wisconsin,https://west.aasd.k12.wi.us/,https://west.aasd.k12.wi.us/our_school/staff_directory
13,west early college,denver,colorado,https://west.dpsk12.org/,https://cecdenver.dpsk12.org/faculty-staff/directory/
14,west leadership academy,denver,colorado,https://west.dpsk12.org/,https://www.westminsterpublicschools.org/domain/1436
15,west high school,green bay,wisconsin,https://west.gbaps.org/,https://west.gbaps.org/staff_directory
16,manchester west high school,manchester,new hampshire,https://west.mansd.org/,https://west.mansd.org/staff?page_no=5
17,west salem high school,salem,oregon,https://west.salkeiz.k12.or.us,https://west.salkeiz.k12.or.us/faculty/
18,west high school,salt lake city,utah,https://west.slcschools.org/,https://west.slcschools.org/our-school/administration-staff-directory
19,west high school,wausau,wisconsin,https://west.wausauschools.org/,https://west.wausauschools.org/school-info
20,yes prep west,houston,texas,https://west.yesprep.org/?utm_source=gmb&utm_medium=website&utm_campaign=west,https://west.yesprep.org/about-us/staff
21,west adams preparatory high school,los angeles,california,https://westadamsprep-lausd-ca.schoolloop.com/,https://www.cde.ca.gov/schooldirectory/details?cdscode=19647330114850
22,west campus high school,sacramento,california,https://westcampus.scusd.edu/,https://westcampus.scusd.edu/faculty-and-staff-directory
