,school_name,city,state,website,query,directory
0,cabarrus early college of technology,concord,north carolina,cabarrus.k12.nc.us,"cabarrus early college of technology in concord, north carolina staff administration directory link",https://www.cabarrus.k12.nc.us/site/Default.aspx?PageType=1&SiteID=8438&ChannelID=8457&DirectoryType=6
1,perry career academy eula wilburn ponds perry center for,jonesboro,georgia,http://312.clayton.k12.ga.us/,"perry career academy eula wilburn ponds perry center for in jonesboro, georgia staff administration directory link",https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&SchoolID=130123004279&ID=130123004279
2,nashville comm high school,nashville,illinois,http://64.83.243.36/nashville/high/index.htm,"nashville comm high school in nashville, illinois staff administration directory link",https://nashvillek12.ss20.sharpschool.com/staff/teachers
3,edon high school,edon,ohio,http://EDON-NW.ORG,"edon high school in edon, ohio staff administration directory link",https://sites.google.com/edon-nw.org/wv2/jr-sr-high/high-school-staff-directory
4,explore knowledge academy j senior high school,las vegas,nevada,http://EKACADEMY.ORG,"explore knowledge academy j senior high school in las vegas, nevada staff administration directory link",https://ekacademy.org/
5,world journalism preparatory a college board school,queens,new york,http://World Journalism Preparatory: A College Board School,"world journalism preparatory a college board school in queens, new york staff administration directory link",https://www.wjps.org/directory/faculty
6,achievable dream middlehigh school,newport news,virginia,http://achievabledream.nn.k12.va.us/,"achievable dream middlehigh school in newport news, virginia staff administration directory link",http://achievabledream.nn.k12.va.us/faculty.html
7,adna middlehigh school,chehalis,washington,http://adnamiddlehighschool.weebly.com/,"adna middlehigh school in chehalis, washington staff administration directory link",https://www.adnaschools.org/
8,alleghany high school,covington,virginia,http://ahs.alleghany.k12.va.us/,"alleghany high school in covington, virginia staff administration directory link",https://ahs.ahps.k12.va.us/faculty___staff/directory
9,alamofordo high,alamogordo,new mexico,http://ahs.aps4kids.org/,"alamofordo high in alamogordo, new mexico staff administration directory link",http://ahs.alamogordoschools.org/our-school/staff.stml
10,alamogordo high,alamogordo,new mexico,http://ahs.aps4kids.org/,"alamogordo high in alamogordo, new mexico staff administration directory link",http://ahs.alamogordoschools.org/our-school/staff.stml
11,ashland high school,ashland,massachusetts,http://ahs.ashland.k12.ma.us/staff-directory,"ashland high school in ashland, massachusetts staff administration directory link",https://www.ashland.k12.ma.us/site/default.aspx?PageType=2&PageModuleInstanceID=2559&ViewID=d23c305b-e295-4186-9257-b05a61f233d9&RenderLoc=0&FlexDataID=0&Filter=Site%3AAshland%20High%20School
12,astoria senior high school,astoria,oregon,http://ahs.astoria.k12.or.us/,"astoria senior high school in astoria, oregon staff administration directory link",https://astoria.k12.or.us/4613
13,alta high,sandy,utah,http://ahs.canyonsdistrict.org/,"alta high in sandy, utah staff administration directory link",https://ahs.canyonsdistrict.org/staff-2/
14,albia high school,albia,iowa,http://albiacsd.org/,"albia high school in albia, iowa staff administration directory link",https://albiacsd.org/staff-directory/
15,alpha cindy avitia high school,san jose,california,http://alphapublicschools.org/,"alpha cindy avitia high school in san jose, california staff administration directory link",https://www.cde.ca.gov/schooldirectory/details?cdscode=43694270132274
16,alsea high school,alsea,oregon,http://alsea.k12.or.us/,"alsea high school in alsea, oregon staff administration directory link",http://alsea.k12.or.us/district-office/staff-directory/
17,animas high school,durango,colorado,http://animashighschool.com/,"animas high school in durango, colorado staff administration directory link",https://animashighschool.com/faculty-staff/
18,dixie county high school,cross city,florida,http://aplusweb.dixie.k12.fl.us/~dchs@dixie.k12.fl.us/,"dixie county high school in cross city, florida staff administration directory link",https://dixiecountyhigh.bramjam.com/Staff
