,school_name,city,state,website,directory
0,red bay high school,red bay,alabama,https://www.franklin.k12.al.us/Domain/15,https://www.franklin.k12.al.us/domain/111
1,franklin county school,eastpoint,florida,https://www.franklincountyschools.org/domain/48,https://www.franklincountyschools.org/domain/110
2,franklin juniorsenior high school,franklin,illinois,https://www.franklinhigh.com/,https://www.franklinhigh.com/o/franklin-cusd-1/staff
3,benjamin franklin senior high school,los angeles,california,https://www.franklinhs.org/,https://franklinhs.org/apps/staff/
4,frankston high school,frankston,texas,https://www.frankstonisd.net/Content2/120,https://www.frankstonisd.net/staff
5,fraser high school,fraser,michigan,https://www.fraser.k12.mi.us/Domain/16,https://www.fraser.k12.mi.us/Page/179
6,frazee secondary,frazee,minnesota,https://www.frazee.k12.mn.us/schools/frazee-high-school,https://www.frazee.k12.mn.us/contact-us
7,frazier high school,perryopolis,pennsylvania,https://www.frazierschooldistrict.org/frazierhighschool,https://www.frazierschooldistrict.org/frazierhighschool/highschooldirectory
8,franklin road christian school,murfreesboro,tennessee,https://www.frcsminutemen.com/,https://frcsminutemen.com/faculty/
9,frederica academy,st simons island,georgia,https://www.fredericaacademy.org/,https://www.fredericaacademy.org/about-us/faculty-directory
10,sherando high school,stephens city,virginia,https://www.frederickcountyschoolsva.net/shs,https://www.frederickcountyschoolsva.net/Page/1633
11,fredonia middle school,fredonia,new york,https://www.fredonia.wnyric.org/domain/37,https://www.fredonia.wnyric.org/staff
12,fredonia sr high school,fredonia,kansas,https://www.fredoniaks.com/196299_2,https://www.fredoniaks.com/184022_2
13,freedom area senior high school,freedom,pennsylvania,https://www.freedomareaschools.org/Domain/107,https://www.freedomareaschools.org/StaffDirectory.aspx
14,freedom high school,outagamie county,wisconsin,https://www.freedomschools.k12.wi.us/schools/highschool/,https://www.freedomschools.k12.wi.us/district/staff-directory.cfm
15,freeman high school,rockford,washington,https://www.freemansd.org/Page/1935,https://www.freemansd.org/Page/1935
16,freeport high school,freeport,new york,https://www.freeportschools.org/schools/freeport_hs,https://freeportschools.org/staff_directory
17,fremont high school,fremont,michigan,https://www.fremont.net/schools/hs/,https://www.fremont.net/schools/hs/staff/
18,fremont christian school,fremont,california,https://www.fremontchristian.com/,https://www.fremontchristian.com/about-us/faculty.cfm
19,fremont mills middle and senior high school,tabor,iowa,https://www.fremontmills.org/,https://www.fremontmills.org/staff
20,fremont ross high school,fremont,ohio,https://www.fremontschools.net/schools/Ross-High-School/,https://www.fremontschools.net/Schools/Ross-High-School/Staff-Website-Directory/
21,french settlement high school,french settlement,louisiana,https://www.frenchsettlementhigh.com/,https://www.frenchsettlementhigh.com/high-school-faculty-staff
22,fresno christian schools,fresno,california,https://www.fresnochristian.com/,https://www.fresnochristian.com/staff-directory/
23,erma duncan polytechnical high school,fresno,california,https://www.fresnou.org/,https://www.cde.ca.gov/schooldirectory/details?cdscode=10621661030295
24,freehold township high school,englishtown,new jersey,https://www.frhsd.com/,https://www.frhsd.com/Page/147
25,friends select school,philadelphia,pennsylvania,https://www.friends-select.org/,https://www.friends-select.org/quicklinks/directory
26,friends central school,wynnewood,pennsylvania,https://www.friendscentral.org/,https://www.friendscentral.org/about/faculty-staff-directory
27,friendship central school,friendship,new york,https://www.friendship.wnyric.org/,https://www.friendship.wnyric.org/site/Default.aspx?PageType=1&SiteID=1&ChannelID=30&DirectoryType=6
28,friendship christian school,lebanon,tennessee,https://www.friendshipchristian.org/,https://www.friendshipchristian.org/faculty
29,frontier stem high school,kansas city,missouri,https://www.frontierschools.org/Campus?campus=fshs,https://www.frontierschools.org/Campus?campus=fshs
30,frost high school,frost,texas,https://www.frostisd.com/,https://www.frostisd.org/apps/staff/
31,fruitland high school,fruitland,idaho,https://www.fruitlandschools.org/o/fhs,https://www.fruitlandschools.org/o/fhs
32,fruitport high school,fruitport,michigan,https://www.fruitportschools.net/schools/fruitport-high-school/,https://www.fruitportschools.net/schools/fruitport-high-school/staff-directory/
33,freeport high school,freeport,illinois,https://www.fsd145.org/FHS,https://www.fsd145.org/domain/1131
34,fort stockton high school,fort stockton,texas,https://www.fsisd.net/Domain/12,https://www.fsisd.net/domain/38
35,first state military academy,clayton,delaware,https://www.fsmilitary.org/,https://www.fsmilitary.org/m/staff/
36,florida state university high school,tallahassee,florida,https://www.fsus.school/domain/27,https://www.fsus.school/Page/1104
37,sem yeto continuation high school,fairfield,california,https://www.fsusd.org/o/syhs,https://www.cde.ca.gov/schooldirectory/details?cdscode=48705404836003
