school_name,city,state,website,directory
cabarrus early college of technology,concord,north carolina,cabarrus.k12.nc.us,https://www.cabarrus.k12.nc.us/site/Default.aspx?PageType=1&SiteID=8438&ChannelID=8457&DirectoryType=6
perry career academy eula wilburn ponds perry center for,jonesboro,georgia,http://312.clayton.k12.ga.us/,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&SchoolID=130123004279&ID=130123004279
nashville comm high school,nashville,illinois,http://64.83.243.36/nashville/high/index.htm,https://nashvillek12.ss20.sharpschool.com/staff/teachers
edon high school,edon,ohio,http://EDON-NW.ORG,https://sites.google.com/edon-nw.org/wv2/jr-sr-high/high-school-staff-directory
explore knowledge academy j senior high school,las vegas,nevada,http://EKACADEMY.ORG,https://ekacademy.org/
world journalism preparatory a college board school,queens,new york,http://World Journalism Preparatory: A College Board School,https://www.wjps.org/directory/faculty
achievable dream middlehigh school,newport news,virginia,http://achievabledream.nn.k12.va.us/,http://achievabledream.nn.k12.va.us/faculty.html
adna middlehigh school,chehalis,washington,http://adnamiddlehighschool.weebly.com/,https://www.adnaschools.org/
alleghany high school,covington,virginia,http://ahs.alleghany.k12.va.us/,https://ahs.ahps.k12.va.us/faculty___staff/directory
alamofordo high,alamogordo,new mexico,http://ahs.aps4kids.org/,http://ahs.alamogordoschools.org/our-school/staff.stml
ashland high school,ashland,massachusetts,http://ahs.ashland.k12.ma.us/staff-directory,https://www.ashland.k12.ma.us/site/default.aspx?PageType=2&PageModuleInstanceID=2559&ViewID=d23c305b-e295-4186-9257-b05a61f233d9&RenderLoc=0&FlexDataID=0&Filter=Site%3AAshland%20High%20School
astoria senior high school,astoria,oregon,http://ahs.astoria.k12.or.us/,https://astoria.k12.or.us/4613
alta high,sandy,utah,http://ahs.canyonsdistrict.org/,https://ahs.canyonsdistrict.org/staff-2/
albia high school,albia,iowa,http://albiacsd.org/,https://albiacsd.org/staff-directory/
alpha cindy avitia high school,san jose,california,http://alphapublicschools.org/,https://www.cde.ca.gov/schooldirectory/details?cdscode=43694270132274
alsea high school,alsea,oregon,http://alsea.k12.or.us/,http://alsea.k12.or.us/district-office/staff-directory/
animas high school,durango,colorado,http://animashighschool.com/,https://animashighschool.com/faculty-staff/
dixie county high school,cross city,florida,http://aplusweb.dixie.k12.fl.us/~dchs@dixie.k12.fl.us/,https://dixiecountyhigh.bramjam.com/Staff
arthur and polly mays conservatory of the arts,goulds,florida,http://apmays.dadeschools.net/,http://apmays.dadeschools.net/apmc-teachers.asp
badger high school,kinsman,ohio,http://badgerbraves.org/?page_id=32,http://badgerbraves.org/?page_id=242
bellwood antis high school,bellwood,pennsylvania,http://bahs.ss9.sharpschool.com/,https://bahs.ss9.sharpschool.com/staff_directory
jefferson forest high,forest,virginia,http://bedfordjfhs.sharpschool.net/,https://bedfordjfhs.sharpschool.net/our_staff/staff_directory
beehive science and technology academy,sandy,utah,http://beehiveacademy.org,https://www.beehiveacademy.org/news-and-events/employees/
broadway high,broadway,virginia,http://bhs.rockingham.k12.va.us/,http://bhs.rockingham.k12.va.us/
blackduck secondary,blackduck,minnesota,http://blackduck.k12.mn.us/high-school.html,http://blackduck.k12.mn.us/secondary-staff-email.html
appalachian school,oneonta,alabama,http://blcsas.ss19.sharpschool.com,https://blcsas.ss19.sharpschool.com/staff_directory
cleveland high school,cleveland,alabama,http://blcschs.ss19.sharpschool.com,https://blcschs.ss19.sharpschool.com/staff_directory
gateways high school,springfield,oregon,http://blog.springfield.k12.or.us/gatewayshighschool/,https://www.springfield.k12.or.us/Page/8237
battle mountain high school,battle mountain,nevada,http://bmhs.lander.k12.nv.us/,http://bmhs.lander.k12.nv.us/bmhs-staff.html
romney middle school,romney,west virginia,http://boe.hamp.k12.wv.us/65/Romney-Middle-School-RMS,https://boe.hamp.k12.wv.us/directory.aspx?did=35
bolivar high,bolivar,michigan,http://bolivarschoolsbhs.ss18.sharpschool.com/,https://bchs.hcsedu.org/234208_2
bonneville high school,ogden,utah,http://bonneville.wsd.net/index.php/en/,http://bonneville.wsd.net/index.php/en/104-classroom
boone high school,boone,iowa,http://boone.k12.ia.us/schools/high_school/,https://www.boonecsd.org/o/bhs/staff?page_no=5
bowen high school,chicago,illinois,http://bowen.cps.edu/,http://bowen.cps.edu/staff-directory.html
brindlee mountain high school,guntersville,alabama,http://brindleemountainhigh.marshallk12.org/,https://www.marshallk12.org/domain/59
bronx latin school,bronx,new york,http://bronxlatin.com/,http://bronxlatin.com/teachers/
